hour,T_out_C,T_air_C,T_mass_C,solar_gain_W,conduction_loss_W,ventilation_loss_W,net_heat_flow_W,storage_rate_W,comfort_status
0.0,-8.000000000000002,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,uncomfortable
0.5,-9.174735729980464,-2.1587038691420393,-2.037953350382515,156.38720151464088,335.02987400375144,89.31127917572881,-324.3411531794803,-167.9539516648402,uncomfortable
1.0,-10.329371405922686,-2.2558269547404817,-2.0885254784130165,170.23293981287736,386.4748281083054,102.77299144576901,-389.24781955407445,-219.01487974119854,uncomfortable
1.5,-11.444150891285808,-2.358265572941816,-2.150486456480932,183.60074520481203,435.58592128048275,115.6596857483917,-451.2456070288745,-267.64486182406426,uncomfortable
2.0,-12.500000000000004,-2.4684328007163625,-2.223016978563783,196.26189083393302,481.4573626492531,127.69783782000106,-509.15520046925417,-312.89330963532194,uncomfortable
2.5,-13.478852861078488,-2.584929820307385,-2.3051479153757524,207.9997409881932,523.2884972724846,138.67528273979985,-561.9637800122845,-353.96403902409224,uncomfortable
3.0,-14.36396103067893,-2.7060360697292927,-2.3957441474957113,218.61345779710638,560.3508017667898,148.4007215829045,-608.7515233496943,-390.13806555259066,uncomfortable
3.5,-15.140180062621116,-2.8299366187990542,-2.493522165228309,227.9214376233939,591.9976809501863,156.70447494247733,-648.7021558926637,-420.78071826926976,uncomfortable
4.0,-15.794228634059948,-2.9547645685070503,-2.597071972465923,235.76441835156834,617.675376732556,163.4412417688622,-681.1166185014181,-445.35220014985055,uncomfortable
4.5,-16.31491579260158,-3.078633686217574,-2.7048812549023222,242.0082044068855,636.9324320985841,168.4925767014259,-705.4250088000099,-463.4168043931262,uncomfortable
5.0,-16.693332436601615,-3.1996707628568837,-2.8153613040321,246.54596287883453,649.4274129161433,171.76891564210095,-721.1963285582443,-474.6503656794111,uncomfortable
5.5,-16.923003752364295,-3.3160477119143486,-2.9268742479514795,249.3000514618559,654.9347477209354,173.21110761251165,-728.1458553334471,-478.8458038715916,uncomfortable
6.0,-17.0,-3.426012893781867,-3.037761122732967,250.22334693671672,653.3485851155303,172.79142626731436,-726.1400113828447,-475.91666444612946,uncomfortable
6.5,-16.923003752364295,-3.516864406738373,-3.1376105046790475,287.58109572353385,645.129540799612,170.65479141407977,-712.5468017076503,-428.2032364901608,uncomfortable
7.0,-16.693332436601615,-3.592072753435877,-3.229060742500924,305.128541902909,630.203822160179,166.7737952628266,-689.094427319894,-391.8490755200994,uncomfortable
7.5,-16.31491579260158,-3.6489293251174817,-3.307859374155638,332.8623057768421,608.9361554600355,161.23294133648562,-657.0622428883041,-337.3067910196798,uncomfortable
8.0,-15.794228634059948,-3.687965054151836,-3.374127684342632,352.426309410419,581.6206349688508,154.10789286679832,-617.1732310301883,-283.3022184252321,uncomfortable
8.5,-15.140180062621116,-3.704639392841988,-3.4221806917154067,389.5557698904802,548.9299907122552,145.5698585100204,-570.5342569628384,-204.94407933179863,uncomfortable
9.0,-14.36396103067893,-3.7047478212962694,-3.4580177459289145,394.4713007384187,511.11196034582804,135.68752047015752,-517.6830992053475,-152.32818007756998,uncomfortable
9.5,-13.478852861078487,-3.6833010837423417,-3.4750227594360235,422.39394173031155,469.0828191776269,124.6934559047782,-459.960951238462,-71.38233335209597,uncomfortable
10.0,-12.5,-3.642930063208825,-3.4756296496589445,435.2947329453068,423.43950107379953,112.74695746737696,-398.29016627168744,-0.8917255958719486,uncomfortable
